"Country","2/1/2021","2/2/2021","2/3/2021","2/4/2021","2/5/2021","2/6/2021","2/7/2021","2/8/2021","2/9/2021","2/10/2021","2/11/2021","2/12/2021","2/13/2021","2/14/2021","2/15/2021","2/16/2021","2/17/2021","2/18/2021","2/19/2021","2/20/2021","2/21/2021","2/22/2021","2/23/2021","2/24/2021","2/25/2021","2/26/2021","2/27/2021","2/28/2021","3/1/2021","3/2/2021","3/3/2021","3/4/2021","3/5/2021","3/6/2021","3/7/2021","3/8/2021","3/9/2021","3/10/2021","3/11/2021","3/12/2021","3/13/2021","3/14/2021","3/15/2021","3/16/2021","3/17/2021","3/18/2021","3/19/2021","3/20/2021","3/21/2021","3/22/2021","3/23/2021","3/24/2021","3/25/2021","3/26/2021","3/27/2021","3/28/2021","3/29/2021","3/30/2021","3/31/2021","4/1/2021","4/2/2021","4/3/2021","4/4/2021","4/5/2021","4/6/2021","4/7/2021","4/8/2021","4/9/2021","4/10/2021","4/11/2021","4/12/2021","4/13/2021","4/14/2021","4/15/2021","4/16/2021","4/17/2021","4/18/2021","4/19/2021","4/20/2021","4/21/2021","4/22/2021","4/23/2021","4/24/2021","4/25/2021","4/26/2021","4/27/2021","4/28/2021","4/29/2021","4/30/2021","5/1/2021","5/2/2021","5/3/2021","5/4/2021","5/5/2021","5/6/2021","5/7/2021","5/8/2021","5/9/2021","5/10/2021","5/11/2021","5/12/2021","5/13/2021","5/14/2021","5/15/2021","5/16/2021","5/17/2021","5/18/2021","5/19/2021","5/20/2021","5/21/2021","5/22/2021","5/23/2021","5/24/2021","5/25/2021","5/26/2021","5/27/2021","5/28/2021","5/29/2021","5/30/2021","5/31/2021","6/1/2021","6/2/2021","6/3/2021","6/4/2021","6/5/2021","6/6/2021","6/7/2021","6/8/2021","6/9/2021","6/10/2021","6/11/2021","6/12/2021","6/13/2021","6/14/2021","6/15/2021","6/16/2021","6/17/2021","6/18/2021","6/19/2021","6/20/2021","6/21/2021","6/22/2021","6/23/2021","6/24/2021","6/25/2021","6/26/2021","6/27/2021","6/28/2021","6/29/2021","6/30/2021","7/1/2021","7/2/2021","7/3/2021","7/4/2021","7/5/2021","7/6/2021","7/7/2021","7/8/2021","7/9/2021","7/10/2021","7/11/2021","7/12/2021","7/13/2021","7/14/2021","7/15/2021","7/16/2021","7/17/2021","7/18/2021","7/19/2021","7/20/2021","7/21/2021","7/22/2021","7/23/2021","7/24/2021","7/25/2021","7/26/2021","7/27/2021","7/28/2021","7/29/2021","7/30/2021","7/31/2021","8/1/2021","8/2/2021","8/3/2021","8/4/2021","8/5/2021","8/6/2021","8/7/2021","8/8/2021","8/9/2021","8/10/2021","8/11/2021","8/12/2021","8/13/2021","8/14/2021","8/15/2021","8/16/2021","8/17/2021","8/18/2021","8/19/2021","8/20/2021","8/21/2021"
"Australia",909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,911.00,911.00,912.00,912.00,912.00,912.00,913.00,914.00,914.00,915.00,915.00,915.00,916.00,916.00,918.00,918.00,922.00,921.00,923.00,923.00,924.00,924.00,925.00,925.00,927.00,932.00,933.00,939.00,938.00,939.00,943.00,945.00,947.00,949.00,953.00,958.00,966.00,967.00,970.00,972.00,976.00,978.00,981.00
"Canada",20145.00,20242.00,20361.00,20486.00,20607.00,20700.00,20760.00,20830.00,20914.00,21007.00,21089.00,21168.00,21238.00,21261.00,21298.00,21395.00,21439.00,21509.00,21581.00,21631.00,21675.00,21720.00,21761.00,21810.00,21868.00,21915.00,21961.00,21990.00,22014.00,22043.00,22105.00,22152.00,22183.00,22212.00,22234.00,22271.00,22302.00,22330.00,22367.00,22397.00,22426.00,22455.00,22484.00,22509.00,22543.00,22577.00,22605.00,22635.00,22656.00,22695.00,22715.00,22739.00,22771.00,22809.00,22830.00,22855.00,22871.00,22892.00,22960.00,22998.00,23011.00,23038.00,23060.00,23083.00,23132.00,23160.00,23196.00,23236.00,23270.00,23294.00,23336.00,23370.00,23428.00,23482.00,23531.00,23572.00,23611.00,23649.00,23698.00,23761.00,23810.00,23870.00,23912.00,23950.00,24011.00,24048.00,24110.00,24165.00,24220.00,24245.00,24269.00,24334.00,24400.00,24437.00,24479.00,24523.00,24554.00,24577.00,24660.00,24693.00,24755.00,24802.00,24857.00,24884.00,24904.00,24964.00,24999.00,25050.00,25093.00,25148.00,25180.00,25206.00,25231.00,25269.00,25303.00,25393.00,25424.00,25451.00,25473.00,25528.00,25546.00,25590.00,25627.00,25668.00,25686.00,25694.00,25741.00,25774.00,25816.00,25849.00,25863.00,25883.00,25895.00,25921.00,25943.00,25992.00,26004.00,26016.00,26042.00,26055.00,26103.00,26121.00,26144.00,26162.00,26174.00,26184.00,26187.00,26215.00,26246.00,26273.00,26273.00,26306.00,26312.00,26316.00,26336.00,26345.00,26356.00,26375.00,26383.00,26389.00,26396.00,26405.00,26414.00,26427.00,26436.00,26450.00,26452.00,26457.00,26466.00,26468.00,26473.00,26484.00,26497.00,26504.00,26506.00,26511.00,26519.00,26530.00,26544.00,26553.00,26560.00,26561.00,26561.00,26569.00,26582.00,26601.00,26611.00,26616.00,26618.00,26631.00,26635.00,26641.00,26647.00,26654.00,26658.00,26657.00,26665.00,26678.00,26729.00,26743.00,26758.00,26758.00
"China",4818.00,4820.00,4821.00,4822.00,4822.00,4822.00,4822.00,4822.00,4824.00,4825.00,4827.00,4828.00,4829.00,4829.00,4829.00,4831.00,4833.00,4833.00,4833.00,4833.00,4833.00,4833.00,4833.00,4834.00,4834.00,4834.00,4834.00,4835.00,4836.00,4836.00,4836.00,4837.00,4837.00,4838.00,4838.00,4838.00,4838.00,4839.00,4839.00,4839.00,4839.00,4839.00,4839.00,4839.00,4839.00,4839.00,4839.00,4839.00,4839.00,4839.00,4840.00,4840.00,4840.00,4841.00,4841.00,4841.00,4841.00,4841.00,4841.00,4841.00,4841.00,4841.00,4841.00,4841.00,4841.00,4841.00,4841.00,4843.00,4843.00,4843.00,4843.00,4844.00,4845.00,4845.00,4845.00,4845.00,4845.00,4845.00,4845.00,4845.00,4845.00,4845.00,4845.00,4845.00,4845.00,4845.00,4845.00,4845.00,4845.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4846.00,4847.00,4846.00,4846.00,4846.00,4847.00,4847.00,4847.00,4847.00,4847.00,4847.00,4848.00,4848.00,4848.00,4848.00,4848.00,4848.00,4848.00,4848.00,4848.00,4848.00,4848.00,4848.00,4848.00,4848.00,4848.00,4848.00,4848.00,4848.00,4851.00,4848.00,4848.00,4848.00,4848.00,4848.00,4848.00,4848.00,4848.00,4848.00,4848.00,4848.00,4848.00,4848.00,4848.00,4848.00,4848.00,4848.00,4848.00,4848.00,4848.00,4848.00,4848.00,4848.00,4848.00,4848.00,4848.00,4848.00,4848.00,4848.00
"Denmark",2146.00,2161.00,2171.00,2185.00,2202.00,2216.00,2217.00,2217.00,2245.00,2256.00,2270.00,2281.00,2285.00,2293.00,2302.00,2309.00,2317.00,2320.00,2328.00,2334.00,2339.00,2344.00,2344.00,2346.00,2352.00,2354.00,2359.00,2362.00,2366.00,2368.00,2371.00,2375.00,2378.00,2378.00,2380.00,2382.00,2382.00,2383.00,2385.00,2388.00,2391.00,2392.00,2394.00,2396.00,2397.00,2398.00,2398.00,2400.00,2401.00,2403.00,2404.00,2405.00,2410.00,2412.00,2414.00,2415.00,2416.00,2418.00,2420.00,2424.00,2425.00,2429.00,2430.00,2431.00,2433.00,2436.00,2437.00,2437.00,2440.00,2442.00,2444.00,2447.00,2448.00,2450.00,2453.00,2453.00,2456.00,2460.00,2464.00,2466.00,2468.00,2473.00,2475.00,2476.00,2478.00,2480.00,2482.00,2484.00,2484.00,2490.00,2491.00,2491.00,2492.00,2492.00,2494.00,2496.00,2498.00,2498.00,2498.00,2500.00,2500.00,2500.00,2500.00,2503.00,2503.00,2504.00,2504.00,2506.00,2507.00,2507.00,2508.00,2509.00,2510.00,2511.00,2512.00,2512.00,2513.00,2517.00,2517.00,2517.00,2517.00,2517.00,2518.00,2518.00,2519.00,2519.00,2521.00,2521.00,2521.00,2523.00,2524.00,2526.00,2526.00,2527.00,2528.00,2528.00,2529.00,2529.00,2531.00,2531.00,2532.00,2532.00,2532.00,2532.00,2532.00,2532.00,2533.00,2534.00,2535.00,2535.00,2536.00,2537.00,2538.00,2538.00,2538.00,2539.00,2539.00,2539.00,2539.00,2540.00,2540.00,2540.00,2540.00,2540.00,2541.00,2542.00,2543.00,2543.00,2543.00,2543.00,2543.00,2543.00,2543.00,2543.00,2543.00,2544.00,2547.00,2548.00,2549.00,2549.00,2551.00,2551.00,2552.00,2552.00,2552.00,2554.00,2554.00,2554.00,2554.00,2554.00,2556.00,2556.00,2557.00,2560.00,2561.00,2562.00,2562.00,2564.00,2564.00,2564.00,2565.00,2566.00
"France",76657.00,77383.00,77741.00,77741.00,78749.00,78940.00,79111.00,79571.00,80295.00,80591.00,80951.00,81596.00,81795.00,81962.00,82374.00,82961.00,83271.00,83542.00,84114.00,84271.00,84430.00,84764.00,85195.00,85473.00,85734.00,86273.00,86458.00,86580.00,86955.00,87373.00,87695.00,87988.00,88427.00,88597.00,88727.00,89090.00,89455.00,89707.00,89984.00,90207.00,90376.00,90583.00,90924.00,91324.00,91411.00,91833.00,92118.00,92295.00,92433.00,92776.00,93064.00,93310.00,93535.00,94432.00,94623.00,94754.00,95114.00,95495.00,95798.00,96106.00,96438.00,96439.00,96808.00,97005.00,97431.00,97444.00,98196.00,98202.00,98213.00,98909.00,99294.00,99639.00,99936.00,100232.00,100563.00,100752.00,100892.00,101339.00,101713.00,102046.00,102323.00,102655.00,102872.00,103017.00,103415.00,103762.00,104077.00,104385.00,104675.00,104867.00,104980.00,105291.00,105548.00,105792.00,106011.00,106262.00,106438.00,106553.00,106845.00,107096.00,107280.00,107411.00,107584.00,107696.00,107777.00,107973.00,108201.00,108342.00,108475.00,108598.00,108687.00,108757.00,108819.00,109040.00,109185.00,109327.00,109452.00,109518.00,109562.00,109690.00,109824.00,109841.00,109990.00,110078.00,110135.00,110160.00,110224.00,110299.00,110364.00,110432.00,110506.00,110540.00,110553.00,110616.00,110692.00,110740.00,110796.00,110864.00,110886.00,110900.00,110940.00,110991.00,111024.00,111068.00,111101.00,111113.00,111130.00,111174.00,111230.00,111244.00,111298.00,111322.00,111339.00,111348.00,111385.00,111420.00,111448.00,111473.00,111492.00,111511.00,111515.00,111543.00,111597.00,111609.00,111619.00,111641.00,111657.00,111662.00,111682.00,111715.00,111737.00,111749.00,111778.00,111800.00,111806.00,111851.00,111883.00,111923.00,111951.00,112011.00,112055.00,112073.00,112128.00,112185.00,112233.00,112283.00,112347.00,112379.00,112407.00,112484.00,112575.00,112620.00,112700.00,112778.00,112829.00,112873.00,112992.00,113116.00,113239.00,113376.00,113472.00,113472.00
"Netherlands",14135.00,14218.00,14281.00,14346.00,14407.00,14468.00,14516.00,14543.00,14629.00,14710.00,14782.00,14847.00,14913.00,14936.00,14963.00,15050.00,15138.00,15211.00,15261.00,15323.00,15340.00,15372.00,15466.00,15529.00,15561.00,15626.00,15668.00,15688.00,15710.00,15775.00,15824.00,15857.00,15890.00,15931.00,15962.00,15990.00,16046.00,16077.00,16127.00,16153.00,16176.00,16200.00,16218.00,16251.00,16298.00,16332.00,16379.00,16395.00,16411.00,16426.00,16475.00,16510.00,16536.00,16561.00,16592.00,16607.00,16620.00,16657.00,16689.00,16713.00,16733.00,16766.00,16790.00,16801.00,16826.00,16850.00,16873.00,16915.00,16939.00,16959.00,16981.00,17018.00,17048.00,17063.00,17080.00,17114.00,17127.00,17150.00,17179.00,17202.00,17226.00,17245.00,17269.00,17281.00,17295.00,17328.00,17339.00,17372.00,17398.00,17421.00,17425.00,17443.00,17475.00,17501.00,17525.00,17547.00,17578.00,17582.00,17602.00,17648.00,17664.00,17679.00,17690.00,17703.00,17717.00,17725.00,17742.00,17758.00,17778.00,17790.00,17810.00,17817.00,17827.00,17840.00,17850.00,17866.00,17881.00,17889.00,17895.00,17897.00,17906.00,17918.00,17932.00,17940.00,17950.00,17954.00,17957.00,17972.00,17977.00,17983.00,17986.00,17987.00,17989.00,17993.00,17994.00,17998.00,18001.00,18004.00,18007.00,18007.00,18008.00,18011.00,18015.00,18018.00,18023.00,18023.00,18024.00,18024.00,18028.00,18028.00,18031.00,18038.00,18039.00,18039.00,18040.00,18041.00,18044.00,18046.00,18048.00,18049.00,18049.00,18050.00,18054.00,18055.00,18058.00,18060.00,18060.00,18061.00,18063.00,18069.00,18072.00,18075.00,18078.00,18082.00,18086.00,18087.00,18090.00,18098.00,18102.00,18108.00,18114.00,18117.00,18118.00,18121.00,18131.00,18142.00,18151.00,18160.00,18163.00,18165.00,18175.00,18187.00,18196.00,18204.00,18212.00,18218.00,18227.00,18234.00,18242.00,18252.00,18258.00,18268.00
"New Zealand",25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00
"United Kingdom",106774.00,108225.00,109547.00,110462.00,111477.00,112305.00,112681.00,113014.00,114066.00,115068.00,115748.00,116507.00,117128.00,117387.00,117622.00,118421.00,119159.00,119614.00,120147.00,120593.00,120810.00,120988.00,121536.00,121979.00,122303.00,122648.00,122939.00,123083.00,123187.00,123530.00,124017.00,124259.00,124495.00,124654.00,124736.00,124801.00,125032.00,125222.00,125403.00,125579.00,125701.00,125753.00,125817.00,125927.00,126068.00,126163.00,126263.00,126359.00,126393.00,126411.00,126523.00,126621.00,126684.00,126755.00,126813.00,126834.00,126857.00,126912.00,126955.00,127006.00,127058.00,127068.00,127078.00,127106.00,127126.00,127171.00,127224.00,127284.00,127324.00,127331.00,127346.00,127369.00,127407.00,127438.00,127472.00,127508.00,127518.00,127524.00,127557.00,127577.00,127597.00,127638.00,127670.00,127681.00,127688.00,127705.00,127734.00,127759.00,127775.00,127782.00,127796.00,127797.00,127803.00,127830.00,127843.00,127858.00,127863.00,127865.00,127870.00,127890.00,127901.00,127912.00,127930.00,127937.00,127941.00,127946.00,127953.00,127956.00,127963.00,127972.00,127978.00,127983.00,127986.00,128001.00,128010.00,128020.00,128030.00,128037.00,128043.00,128045.00,128045.00,128057.00,128075.00,128086.00,128099.00,128103.00,128104.00,128118.00,128124.00,128131.00,128148.00,128160.00,128168.00,128171.00,128181.00,128190.00,128209.00,128220.00,128234.00,128240.00,128245.00,128272.00,128291.00,128312.00,128330.00,128353.00,128364.00,128367.00,128390.00,128404.00,128426.00,128453.00,128471.00,128486.00,128495.00,128532.00,128565.00,128601.00,128631.00,128665.00,128691.00,128697.00,128747.00,128797.00,128864.00,128913.00,128960.00,128988.00,129007.00,129109.00,129182.00,129266.00,129330.00,129418.00,129446.00,129460.00,129591.00,129718.00,129809.00,129877.00,129949.00,130014.00,130039.00,130179.00,130300.00,130390.00,130482.00,130585.00,130630.00,130667.00,130813.00,130921.00,131016.00,131116.00,131210.00,131269.00,131296.00,131466.00,131577.00,131691.00,131805.00,131909.00
