"Country","8/1/2020","8/2/2020","8/3/2020","8/4/2020","8/5/2020","8/6/2020","8/7/2020","8/8/2020","8/9/2020","8/10/2020","8/11/2020","8/12/2020","8/13/2020","8/14/2020","8/15/2020","8/16/2020","8/17/2020","8/18/2020","8/19/2020","8/20/2020","8/21/2020","8/22/2020","8/23/2020","8/24/2020","8/25/2020","8/26/2020","8/27/2020","8/28/2020","8/29/2020","8/30/2020","8/31/2020","9/1/2020","9/2/2020","9/3/2020","9/4/2020","9/5/2020","9/6/2020","9/7/2020","9/8/2020","9/9/2020","9/10/2020","9/11/2020","9/12/2020","9/13/2020","9/14/2020","9/15/2020","9/16/2020","9/17/2020","9/18/2020","9/19/2020","9/20/2020","9/21/2020","9/22/2020","9/23/2020","9/24/2020","9/25/2020","9/26/2020","9/27/2020","9/28/2020","9/29/2020","9/30/2020","10/1/2020","10/2/2020","10/3/2020","10/4/2020","10/5/2020","10/6/2020","10/7/2020","10/8/2020","10/9/2020","10/10/2020","10/11/2020","10/12/2020","10/13/2020","10/14/2020","10/15/2020","10/16/2020","10/17/2020","10/18/2020","10/19/2020","10/20/2020","10/21/2020","10/22/2020","10/23/2020","10/24/2020","10/25/2020","10/26/2020","10/27/2020","10/28/2020","10/29/2020","10/30/2020","10/31/2020","11/1/2020","11/2/2020","11/3/2020","11/4/2020","11/5/2020","11/6/2020","11/7/2020","11/8/2020","11/9/2020","11/10/2020","11/11/2020","11/12/2020","11/13/2020","11/14/2020","11/15/2020","11/16/2020","11/17/2020","11/18/2020","11/19/2020","11/20/2020","11/21/2020","11/22/2020","11/23/2020","11/24/2020","11/25/2020","11/26/2020","11/27/2020","11/28/2020","11/29/2020","11/30/2020","12/1/2020","12/2/2020","12/3/2020","12/4/2020","12/5/2020","12/6/2020","12/7/2020","12/8/2020","12/9/2020","12/10/2020","12/11/2020","12/12/2020","12/13/2020","12/14/2020","12/15/2020","12/16/2020","12/17/2020","12/18/2020","12/19/2020","12/20/2020","12/21/2020","12/22/2020","12/23/2020","12/24/2020","12/25/2020","12/26/2020","12/27/2020","12/28/2020","12/29/2020","12/30/2020","12/31/2020","1/1/2021","1/2/2021","1/3/2021","1/4/2021","1/5/2021","1/6/2021","1/7/2021","1/8/2021","1/9/2021","1/10/2021","1/11/2021","1/12/2021","1/13/2021","1/14/2021","1/15/2021","1/16/2021","1/17/2021","1/18/2021","1/19/2021","1/20/2021","1/21/2021","1/22/2021","1/23/2021","1/24/2021","1/25/2021","1/26/2021","1/27/2021","1/28/2021","1/29/2021","1/30/2021","1/31/2021"
"Australia",208.00,221.00,232.00,247.00,255.00,266.00,278.00,295.00,313.00,331.00,352.00,361.00,375.00,379.00,396.00,421.00,438.00,450.00,463.00,472.00,485.00,502.00,517.00,525.00,549.00,572.00,583.00,600.00,611.00,652.00,657.00,663.00,678.00,737.00,748.00,753.00,762.00,770.00,781.00,788.00,797.00,803.00,810.00,816.00,816.00,824.00,832.00,837.00,844.00,849.00,851.00,854.00,859.00,861.00,869.00,870.00,872.00,875.00,882.00,886.00,888.00,890.00,893.00,894.00,894.00,895.00,897.00,897.00,897.00,897.00,898.00,898.00,899.00,904.00,904.00,904.00,904.00,904.00,905.00,905.00,905.00,905.00,905.00,905.00,905.00,905.00,905.00,907.00,907.00,907.00,907.00,907.00,907.00,907.00,907.00,907.00,907.00,907.00,907.00,907.00,907.00,907.00,907.00,907.00,907.00,907.00,907.00,907.00,907.00,907.00,907.00,907.00,907.00,907.00,907.00,907.00,907.00,907.00,907.00,907.00,908.00,908.00,908.00,908.00,908.00,908.00,908.00,908.00,908.00,908.00,908.00,908.00,908.00,908.00,908.00,908.00,908.00,908.00,908.00,908.00,908.00,908.00,908.00,908.00,908.00,908.00,908.00,908.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00,909.00
"Canada",9029.00,9032.00,9035.00,9043.00,9049.00,9055.00,9060.00,9064.00,9067.00,9074.00,9080.00,9085.00,9091.00,9095.00,9101.00,9106.00,9108.00,9118.00,9124.00,9127.00,9141.00,9142.00,9146.00,9154.00,9159.00,9164.00,9168.00,9181.00,9184.00,9185.00,9193.00,9197.00,9199.00,9205.00,9206.00,9207.00,9209.00,9212.00,9219.00,9223.00,9231.00,9231.00,9233.00,9236.00,9249.00,9257.00,9262.00,9267.00,9279.00,9286.00,9288.00,9300.00,9309.00,9317.00,9325.00,9332.00,9338.00,9343.00,9360.00,9373.00,9391.00,9407.00,9505.00,9526.00,9570.00,9599.00,9617.00,9636.00,9654.00,9668.00,9694.00,9708.00,9720.00,9752.00,9777.00,9796.00,9828.00,9836.00,9860.00,9891.00,9909.00,9946.00,9977.00,10004.00,10026.00,10057.00,10095.00,10120.00,10158.00,10192.00,10237.00,10276.00,10313.00,10345.00,10403.00,10444.00,10484.00,10546.00,10593.00,10641.00,10702.00,10769.00,10832.00,10905.00,10951.00,11013.00,11078.00,11152.00,11220.00,11324.00,11394.00,11461.00,11527.00,11583.00,11662.00,11762.00,11820.00,11902.00,11988.00,12056.00,12130.00,12239.00,12317.00,12423.00,12513.00,12616.00,12690.00,12775.00,12896.00,12993.00,13109.00,13227.00,13355.00,13453.00,13537.00,13677.00,13793.00,13911.00,14067.00,14180.00,14284.00,14374.00,14481.00,14607.00,14752.00,14902.00,14966.00,15051.00,15171.00,15328.00,15528.00,15650.00,15762.00,15806.00,15914.00,16006.00,16247.00,16389.00,16539.00,16704.00,16846.00,16984.00,17074.00,17199.00,17359.00,17539.00,17686.00,17856.00,17978.00,18106.00,18231.00,18382.00,18567.00,18706.00,18887.00,18992.00,19119.00,19245.00,19392.00,19485.00,19676.00,19825.00,19958.00,20041.00
"China",4667.00,4669.00,4672.00,4676.00,4677.00,4680.00,4681.00,4681.00,4686.00,4689.00,4693.00,4697.00,4700.00,4701.00,4703.00,4703.00,4703.00,4705.00,4706.00,4709.00,4709.00,4711.00,4711.00,4711.00,4712.00,4713.00,4715.00,4718.00,4721.00,4722.00,4723.00,4724.00,4727.00,4728.00,4728.00,4728.00,4730.00,4732.00,4733.00,4733.00,4733.00,4733.00,4734.00,4734.00,4735.00,4736.00,4736.00,4736.00,4737.00,4737.00,4737.00,4737.00,4737.00,4738.00,4738.00,4739.00,4739.00,4739.00,4739.00,4739.00,4739.00,4739.00,4739.00,4739.00,4739.00,4739.00,4739.00,4739.00,4739.00,4739.00,4739.00,4739.00,4739.00,4739.00,4739.00,4739.00,4739.00,4739.00,4739.00,4739.00,4739.00,4739.00,4739.00,4739.00,4739.00,4739.00,4739.00,4739.00,4739.00,4739.00,4739.00,4739.00,4739.00,4739.00,4739.00,4740.00,4741.00,4741.00,4741.00,4741.00,4741.00,4742.00,4742.00,4742.00,4742.00,4742.00,4742.00,4742.00,4742.00,4742.00,4742.00,4742.00,4742.00,4742.00,4742.00,4742.00,4742.00,4742.00,4742.00,4743.00,4743.00,4743.00,4743.00,4744.00,4745.00,4746.00,4746.00,4746.00,4746.00,4746.00,4748.00,4748.00,4748.00,4749.00,4751.00,4754.00,4757.00,4757.00,4759.00,4763.00,4763.00,4764.00,4765.00,4766.00,4767.00,4769.00,4770.00,4770.00,4771.00,4775.00,4777.00,4781.00,4782.00,4782.00,4784.00,4784.00,4787.00,4787.00,4788.00,4788.00,4789.00,4791.00,4792.00,4793.00,4794.00,4796.00,4796.00,4796.00,4797.00,4797.00,4798.00,4800.00,4801.00,4803.00,4803.00,4803.00,4804.00,4807.00,4809.00,4811.00,4813.00,4814.00,4815.00,4817.00
"Denmark",615.00,615.00,616.00,616.00,616.00,617.00,617.00,617.00,617.00,620.00,621.00,621.00,621.00,621.00,621.00,621.00,621.00,621.00,621.00,621.00,621.00,622.00,622.00,623.00,623.00,623.00,624.00,624.00,624.00,624.00,624.00,625.00,626.00,626.00,627.00,627.00,627.00,628.00,628.00,628.00,629.00,629.00,630.00,631.00,633.00,633.00,633.00,635.00,635.00,635.00,638.00,640.00,641.00,643.00,645.00,647.00,648.00,649.00,649.00,650.00,650.00,651.00,652.00,654.00,658.00,659.00,663.00,663.00,665.00,665.00,667.00,669.00,671.00,674.00,675.00,677.00,677.00,679.00,680.00,686.00,688.00,690.00,694.00,697.00,700.00,702.00,708.00,709.00,715.00,716.00,719.00,721.00,723.00,724.00,728.00,729.00,733.00,738.00,740.00,743.00,747.00,750.00,753.00,755.00,756.00,757.00,760.00,764.00,768.00,770.00,773.00,778.00,781.00,784.00,789.00,797.00,802.00,811.00,816.00,823.00,829.00,837.00,846.00,852.00,858.00,867.00,878.00,885.00,894.00,901.00,904.00,918.00,927.00,935.00,941.00,950.00,961.00,975.00,992.00,1007.00,1019.00,1035.00,1053.00,1070.00,1096.00,1114.00,1134.00,1153.00,1174.00,1204.00,1226.00,1256.00,1298.00,1322.00,1345.00,1374.00,1389.00,1420.00,1451.00,1488.00,1518.00,1543.00,1571.00,1598.00,1624.00,1661.00,1661.00,1721.00,1748.00,1776.00,1806.00,1838.00,1873.00,1910.00,1942.00,1970.00,1984.00,2011.00,2031.00,2051.00,2072.00,2085.00,2107.00,2126.00
"France",30268.00,30268.00,30298.00,30300.00,30311.00,30315.00,30328.00,30329.00,30329.00,30344.00,30358.00,30376.00,30393.00,30412.00,30413.00,30414.00,30434.00,30456.00,30474.00,30485.00,30509.00,30518.00,30518.00,30534.00,30553.00,30553.00,30588.00,30606.00,30612.00,30615.00,30646.00,30673.00,30700.00,30717.00,30696.00,30708.00,30712.00,30735.00,30773.00,30805.00,30824.00,30906.00,30924.00,30929.00,30963.00,31013.00,31061.00,31108.00,31262.00,31287.00,31298.00,31351.00,31430.00,31478.00,31524.00,31675.00,31714.00,31741.00,31825.00,31898.00,31978.00,32035.00,32171.00,32196.00,32228.00,32299.00,32386.00,32466.00,32539.00,32649.00,32684.00,32730.00,32827.00,32955.00,33061.00,33146.00,33325.00,33398.00,33483.00,33631.00,33912.00,34080.00,34234.00,34534.00,34670.00,34649.00,35038.00,35567.00,35826.00,36058.00,36605.00,36827.00,37058.00,37486.00,38765.00,38734.00,39088.00,39917.00,40220.00,40490.00,41050.00,42281.00,42609.00,43024.00,43957.00,44310.00,44613.00,45124.00,46350.00,46781.00,47198.00,48339.00,48591.00,48805.00,49311.00,50322.00,50710.00,51041.00,52000.00,52212.00,52410.00,52819.00,53596.00,53907.00,54231.00,54861.00,55073.00,55247.00,55613.00,56451.00,56748.00,57044.00,57672.00,57865.00,58015.00,58391.00,59182.00,59472.00,59733.00,60345.00,60534.00,60665.00,61019.00,61821.00,62098.00,62389.00,62548.00,62694.00,62867.00,63235.00,64204.00,64508.00,64759.00,64892.00,65048.00,65164.00,65549.00,66417.00,66699.00,66975.00,67566.00,67734.00,67885.00,68197.00,68939.00,69168.00,69452.00,70088.00,70281.00,70422.00,70826.00,71482.00,71792.00,72139.00,72788.00,73018.00,73190.00,73636.00,74250.00,74600.00,74944.00,75765.00,76006.00,76201.00
"Netherlands",6167.00,6169.00,6169.00,6170.00,6173.00,6173.00,6174.00,6178.00,6178.00,6178.00,6162.00,6182.00,6187.00,6189.00,6191.00,6194.00,6194.00,6197.00,6204.00,6215.00,6219.00,6225.00,6225.00,6227.00,6233.00,6241.00,6244.00,6247.00,6252.00,6252.00,6252.00,6260.00,6267.00,6268.00,6270.00,6275.00,6277.00,6278.00,6279.00,6281.00,6285.00,6290.00,6291.00,6292.00,6296.00,6300.00,6303.00,6310.00,6318.00,6320.00,6324.00,6327.00,6338.00,6344.00,6361.00,6377.00,6415.00,6423.00,6429.00,6443.00,6457.00,6470.00,6482.00,6503.00,6508.00,6509.00,6538.00,6574.00,6587.00,6601.00,6624.00,6642.00,6654.00,6689.00,6720.00,6749.00,6765.00,6797.00,6811.00,6828.00,6874.00,6934.00,6981.00,7026.00,7081.00,7108.00,7134.00,7204.00,7265.00,7321.00,7408.00,7459.00,7498.00,7527.00,7640.00,7748.00,7836.00,7954.00,8028.00,8072.00,8112.00,8211.00,8286.00,8375.00,8430.00,8516.00,8559.00,8603.00,8689.00,8772.00,8846.00,8898.00,8946.00,8967.00,9021.00,9111.00,9185.00,9260.00,9343.00,9403.00,9426.00,9453.00,9518.00,9584.00,9645.00,9704.00,9743.00,9768.00,9786.00,9857.00,9923.00,9985.00,10051.00,10104.00,10134.00,10168.00,10254.00,10333.00,10408.00,10492.00,10546.00,10578.00,10606.00,10720.00,10825.00,10914.00,11015.00,11062.00,11090.00,11135.00,11305.00,11417.00,11525.00,11624.00,11660.00,11707.00,11770.00,11922.00,12096.00,12182.00,12269.00,12406.00,12461.00,12512.00,12664.00,12786.00,12875.00,12969.00,13066.00,13107.00,13157.00,13264.00,13350.00,13439.00,13528.00,13616.00,13646.00,13686.00,13772.00,13841.00,13925.00,13981.00,14069.00,14108.00
"New Zealand",22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00
"United Kingdom",41287.00,41292.00,41293.00,41311.00,41325.00,41343.00,41355.00,41358.00,41363.00,41381.00,41394.00,41414.00,41432.00,41443.00,41446.00,41451.00,41454.00,41466.00,41483.00,41489.00,41491.00,41509.00,41515.00,41519.00,41535.00,41552.00,41564.00,41573.00,41585.00,41586.00,41589.00,41592.00,41602.00,41616.00,41626.00,41638.00,41640.00,41643.00,41675.00,41683.00,41697.00,41703.00,41712.00,41717.00,41726.00,41753.00,41773.00,41794.00,41821.00,41848.00,41866.00,41877.00,41914.00,41951.00,41991.00,42025.00,42060.00,42077.00,42090.00,42162.00,42233.00,42292.00,42358.00,42407.00,42440.00,42459.00,42535.00,42605.00,42682.00,42769.00,42850.00,42915.00,42965.00,43108.00,43245.00,43383.00,43519.00,43669.00,43736.00,43816.00,44057.00,44248.00,44437.00,44661.00,44835.00,44986.00,45088.00,45455.00,45765.00,46045.00,46319.00,46645.00,46807.00,46943.00,47340.00,47832.00,48210.00,48565.00,48978.00,49134.00,49329.00,49861.00,50457.00,51020.00,51396.00,51858.00,52026.00,52240.00,52839.00,53368.00,53870.00,54381.00,54721.00,55120.00,55327.00,55935.00,56630.00,57128.00,57648.00,58127.00,58342.00,58545.00,59148.00,59796.00,60210.00,60714.00,61111.00,61342.00,61531.00,62130.00,62663.00,63179.00,63603.00,64123.00,64267.00,64500.00,65006.00,65618.00,66150.00,66640.00,67177.00,67503.00,67718.00,68409.00,69157.00,69732.00,70302.00,70513.00,70860.00,71217.00,71675.00,72657.00,73622.00,74237.00,74682.00,75137.00,75547.00,76428.00,77470.00,78632.00,79965.00,81000.00,81567.00,82096.00,83342.00,84910.00,86163.00,87448.00,88747.00,89429.00,90031.00,91643.00,93469.00,94765.00,96166.00,97518.00,98129.00,98723.00,100359.00,102085.00,103324.00,104572.00,105777.00,106367.00
