"Country","1/22/2020","1/23/2020","1/24/2020","1/25/2020","1/26/2020","1/27/2020","1/28/2020","1/29/2020","1/30/2020","1/31/2020","2/1/2020","2/2/2020","2/3/2020","2/4/2020","2/5/2020","2/6/2020","2/7/2020","2/8/2020","2/9/2020","2/10/2020","2/11/2020","2/12/2020","2/13/2020","2/14/2020","2/15/2020","2/16/2020","2/17/2020","2/18/2020","2/19/2020","2/20/2020","2/21/2020","2/22/2020","2/23/2020","2/24/2020","2/25/2020","2/26/2020","2/27/2020","2/28/2020","3/1/2020","3/2/2020","3/3/2020","3/4/2020","3/5/2020","3/6/2020","3/7/2020","3/8/2020","3/9/2020","3/10/2020","3/11/2020","3/12/2020","3/13/2020","3/14/2020","3/15/2020","3/16/2020","3/17/2020","3/18/2020","3/19/2020","3/20/2020","3/21/2020","3/22/2020","3/23/2020","3/24/2020","3/25/2020","3/26/2020","3/27/2020","3/28/2020","3/29/2020","3/30/2020","3/31/2020","4/1/2020","4/2/2020","4/3/2020","4/4/2020","4/5/2020","4/6/2020","4/7/2020","4/8/2020","4/9/2020","4/10/2020","4/11/2020","4/12/2020","4/13/2020","4/14/2020","4/15/2020","4/16/2020","4/17/2020","4/18/2020","4/19/2020","4/20/2020","4/21/2020","4/22/2020","4/23/2020","4/24/2020","4/25/2020","4/26/2020","4/27/2020","4/28/2020","4/29/2020","4/30/2020","5/1/2020","5/2/2020","5/3/2020","5/4/2020","5/5/2020","5/6/2020","5/7/2020","5/8/2020","5/9/2020","5/10/2020","5/11/2020","5/12/2020","5/13/2020","5/14/2020","5/15/2020","5/16/2020","5/17/2020","5/18/2020","5/19/2020","5/20/2020","5/21/2020","5/22/2020","5/23/2020","5/24/2020","5/25/2020","5/26/2020","5/27/2020","5/28/2020","5/29/2020","5/30/2020","5/31/2020","6/1/2020","6/2/2020","6/3/2020","6/4/2020","6/5/2020","6/6/2020","6/7/2020","6/8/2020","6/9/2020","6/10/2020","6/11/2020","6/12/2020","6/13/2020","6/14/2020","6/15/2020","6/16/2020","6/17/2020","6/18/2020","6/19/2020","6/20/2020","6/21/2020","6/22/2020","6/23/2020","6/24/2020","6/25/2020","6/26/2020","6/27/2020","6/28/2020","6/29/2020","6/30/2020","7/1/2020","7/2/2020","7/3/2020","7/4/2020","7/5/2020","7/6/2020","7/7/2020","7/8/2020","7/9/2020","7/10/2020","7/11/2020","7/12/2020","7/13/2020","7/14/2020","7/15/2020","7/16/2020","7/17/2020","7/18/2020","7/19/2020","7/20/2020","7/21/2020","7/22/2020","7/23/2020","7/24/2020","7/25/2020","7/26/2020","7/27/2020","7/28/2020","7/29/2020","7/30/2020","7/31/2020"
"Australia",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,5.00,6.00,6.00,7.00,7.00,7.00,7.00,8.00,8.00,13.00,13.00,14.00,16.00,17.00,18.00,20.00,24.00,28.00,30.00,35.00,40.00,45.00,50.00,51.00,54.00,57.00,60.00,61.00,62.00,63.00,63.00,66.00,67.00,67.00,67.00,67.00,67.00,75.00,79.00,80.00,83.00,83.00,89.00,91.00,93.00,93.00,94.00,95.00,96.00,97.00,97.00,97.00,97.00,97.00,97.00,97.00,98.00,98.00,98.00,98.00,98.00,99.00,99.00,100.00,100.00,101.00,101.00,102.00,102.00,102.00,103.00,103.00,103.00,103.00,103.00,103.00,102.00,102.00,102.00,102.00,102.00,102.00,102.00,102.00,102.00,102.00,102.00,102.00,102.00,102.00,102.00,102.00,102.00,102.00,102.00,102.00,102.00,102.00,103.00,104.00,104.00,104.00,104.00,104.00,104.00,104.00,104.00,104.00,104.00,104.00,106.00,106.00,106.00,106.00,106.00,107.00,108.00,108.00,108.00,111.00,113.00,116.00,118.00,122.00,123.00,126.00,128.00,133.00,139.00,145.00,155.00,161.00,167.00,176.00,189.00,196.00,201.00
"Canada",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,6.00,11.00,11.00,15.00,19.00,22.00,29.00,33.00,42.00,57.00,66.00,82.00,96.00,125.00,152.00,175.00,224.00,277.00,360.00,435.00,520.00,581.00,648.00,771.00,867.00,986.00,1095.00,1225.00,1361.00,1515.00,1718.00,1844.00,1987.00,2145.00,2291.00,2484.00,2679.00,2850.00,3030.00,3217.00,3374.00,3559.00,3756.00,4000.00,4179.00,4381.00,4529.00,4669.00,4911.00,5081.00,5240.00,5387.00,5540.00,5704.00,5822.00,5956.00,6107.00,6210.00,6331.00,6452.00,6571.00,6661.00,6753.00,6828.00,6950.00,7046.00,7144.00,7238.00,7326.00,7420.00,7512.00,7606.00,7717.00,7797.00,7857.00,7906.00,7952.00,8008.00,8062.00,8126.00,8166.00,8228.00,8269.00,8313.00,8347.00,8382.00,8413.00,8442.00,8470.00,8489.00,8497.00,8521.00,8542.00,8555.00,8580.00,8609.00,8626.00,8646.00,8670.00,8700.00,8723.00,8730.00,8739.00,8749.00,8768.00,8780.00,8790.00,8806.00,8813.00,8821.00,8823.00,8836.00,8843.00,8855.00,8865.00,8879.00,8882.00,8887.00,8895.00,8900.00,8914.00,8926.00,8936.00,8939.00,8943.00,8947.00,8954.00,8958.00,8966.00,8970.00,8974.00,8978.00,8991.00,9001.00,9006.00,9019.00,9025.00
"China",17.00,18.00,26.00,42.00,56.00,82.00,131.00,133.00,171.00,213.00,259.00,361.00,425.00,491.00,563.00,633.00,718.00,805.00,905.00,1012.00,1112.00,1117.00,1369.00,1521.00,1663.00,1766.00,1864.00,2003.00,2116.00,2238.00,2238.00,2443.00,2445.00,2595.00,2665.00,2717.00,2746.00,2790.00,2872.00,2914.00,2947.00,2983.00,3015.00,3044.00,3072.00,3100.00,3123.00,3139.00,3161.00,3172.00,3180.00,3193.00,3203.00,3217.00,3230.00,3241.00,3249.00,3253.00,3259.00,3274.00,3274.00,3281.00,3285.00,3291.00,3296.00,3299.00,3304.00,3308.00,3309.00,3316.00,3322.00,3326.00,3330.00,3333.00,3335.00,3335.00,3337.00,3339.00,3340.00,3343.00,3343.00,3345.00,3345.00,3346.00,3346.00,4636.00,4636.00,4636.00,4636.00,4636.00,4636.00,4636.00,4636.00,4636.00,4637.00,4637.00,4637.00,4637.00,4637.00,4637.00,4637.00,4637.00,4637.00,4637.00,4637.00,4637.00,4637.00,4637.00,4637.00,4637.00,4637.00,4637.00,4637.00,4637.00,4638.00,4638.00,4638.00,4638.00,4638.00,4638.00,4638.00,4638.00,4638.00,4638.00,4638.00,4638.00,4638.00,4638.00,4638.00,4638.00,4638.00,4638.00,4638.00,4638.00,4638.00,4638.00,4638.00,4638.00,4638.00,4638.00,4638.00,4638.00,4638.00,4638.00,4638.00,4638.00,4638.00,4638.00,4638.00,4639.00,4639.00,4639.00,4640.00,4640.00,4641.00,4641.00,4641.00,4641.00,4641.00,4641.00,4641.00,4641.00,4641.00,4641.00,4641.00,4641.00,4641.00,4641.00,4641.00,4641.00,4641.00,4641.00,4641.00,4642.00,4644.00,4644.00,4645.00,4646.00,4646.00,4646.00,4648.00,4648.00,4649.00,4650.00,4652.00,4652.00,4656.00,4657.00,4658.00,4659.00,4661.00
"Denmark",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,3.00,4.00,4.00,6.00,9.00,13.00,13.00,24.00,32.00,34.00,41.00,52.00,65.00,72.00,77.00,90.00,104.00,123.00,139.00,161.00,179.00,187.00,203.00,218.00,237.00,247.00,260.00,273.00,285.00,299.00,309.00,321.00,336.00,346.00,355.00,364.00,370.00,384.00,394.00,403.00,418.00,422.00,427.00,434.00,443.00,452.00,460.00,475.00,484.00,493.00,503.00,506.00,514.00,522.00,526.00,529.00,533.00,527.00,533.00,537.00,537.00,543.00,547.00,548.00,551.00,554.00,561.00,561.00,561.00,562.00,563.00,563.00,565.00,568.00,568.00,571.00,574.00,576.00,580.00,580.00,582.00,586.00,587.00,589.00,593.00,593.00,593.00,593.00,594.00,597.00,597.00,598.00,598.00,598.00,600.00,600.00,600.00,600.00,602.00,603.00,603.00,603.00,604.00,604.00,604.00,605.00,605.00,606.00,606.00,606.00,606.00,606.00,607.00,609.00,609.00,609.00,609.00,609.00,609.00,610.00,610.00,610.00,610.00,611.00,611.00,611.00,611.00,611.00,611.00,612.00,613.00,613.00,613.00,613.00,613.00,614.00,615.00,615.00
"France",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,3.00,4.00,4.00,7.00,9.00,16.00,19.00,25.00,33.00,48.00,48.00,79.00,91.00,91.00,149.00,149.00,149.00,244.00,451.00,563.00,676.00,862.00,1102.00,1333.00,1697.00,1996.00,2314.00,2608.00,3026.00,3526.00,4778.00,5387.00,6509.00,7562.00,8081.00,8914.00,10330.00,10874.00,12214.00,13199.00,13835.00,14396.00,14969.00,15712.00,17150.00,17903.00,18664.00,19305.00,19694.00,20241.00,20769.00,21313.00,21829.00,22219.00,22588.00,22830.00,23267.00,23634.00,24060.00,24349.00,24566.00,24763.00,24898.00,25204.00,25537.00,25812.00,25991.00,26233.00,26313.00,26383.00,26646.00,26994.00,27079.00,27430.00,27532.00,27630.00,28113.00,28242.00,28025.00,28136.00,28218.00,28366.00,28452.00,28372.00,28461.00,28598.00,28599.00,28666.00,28717.00,28774.00,28805.00,28837.00,28943.00,29024.00,29069.00,29114.00,29145.00,29158.00,29213.00,29301.00,29322.00,29349.00,29377.00,29401.00,29411.00,29439.00,29553.00,29578.00,29606.00,29620.00,29638.00,29644.00,29668.00,29722.00,29735.00,29754.00,29780.00,29781.00,29781.00,29816.00,29846.00,29865.00,29878.00,29896.00,29896.00,29895.00,29925.00,29936.00,29967.00,29983.00,30009.00,30012.00,30012.00,30035.00,30037.00,30125.00,30142.00,30155.00,30158.00,30158.00,30182.00,30169.00,30175.00,30186.00,30196.00,30196.00,30196.00,30214.00,30227.00,30241.00,30257.00,30268.00
"Netherlands",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,3.00,3.00,4.00,5.00,5.00,10.00,12.00,20.00,24.00,43.00,58.00,77.00,107.00,137.00,180.00,214.00,277.00,357.00,435.00,547.00,640.00,772.00,865.00,1040.00,1175.00,1341.00,1490.00,1656.00,1771.00,1874.00,2108.00,2255.00,2403.00,2520.00,2653.00,2747.00,2833.00,2955.00,3145.00,3327.00,3471.00,3613.00,3697.00,3764.00,3929.00,4068.00,4192.00,4304.00,4424.00,4491.00,4534.00,4582.00,4727.00,4811.00,4909.00,5003.00,5072.00,5098.00,5185.00,5221.00,5306.00,5377.00,5441.00,5459.00,5475.00,5529.00,5581.00,5609.00,5662.00,5689.00,5699.00,5713.00,5734.00,5767.00,5794.00,5807.00,5830.00,5841.00,5849.00,5875.00,5890.00,5922.00,5950.00,5970.00,5975.00,5981.00,5986.00,5996.00,6009.00,6024.00,6030.00,6032.00,6035.00,6050.00,6061.00,6063.00,6072.00,6076.00,6078.00,6084.00,6089.00,6093.00,6097.00,6100.00,6108.00,6109.00,6109.00,6114.00,6116.00,6119.00,6122.00,6124.00,6124.00,6126.00,6132.00,6134.00,6137.00,6139.00,6145.00,6146.00,6147.00,6151.00,6154.00,6156.00,6155.00,6156.00,6156.00,6156.00,6154.00,6155.00,6156.00,6157.00,6155.00,6155.00,6155.00,6155.00,6158.00,6158.00,6158.00,6159.00,6178.00,6160.00,6164.00,6166.00,6166.00,6166.00
"New Zealand",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,4.00,4.00,5.00,9.00,9.00,9.00,11.00,11.00,12.00,12.00,13.00,14.00,17.00,18.00,18.00,19.00,19.00,19.00,19.00,19.00,20.00,20.00,20.00,20.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
"United Kingdom",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,2.00,3.00,7.00,7.00,9.00,10.00,29.00,43.00,66.00,83.00,118.00,164.00,196.00,254.00,289.00,365.00,513.00,704.00,886.00,1174.00,1466.00,1679.00,2053.00,2457.00,3130.00,3787.00,4524.00,5281.00,5882.00,6452.00,7557.00,8589.00,9706.00,10829.00,11673.00,12330.00,13055.00,14135.00,15019.00,16059.00,16973.00,18081.00,18514.00,19090.00,20314.00,21171.00,21855.00,22873.00,23689.00,24053.00,24376.00,25347.00,26118.00,26754.00,27454.00,28039.00,28292.00,28565.00,29290.00,29937.00,30395.00,30975.00,31250.00,31467.00,31655.00,32270.00,32718.00,33071.00,33422.00,33833.00,33900.00,34046.00,34547.00,34876.00,35149.00,35440.00,35660.00,36039.00,36143.00,36274.00,36696.00,37039.00,37313.00,37467.00,37527.00,37613.00,37863.00,38117.00,38247.00,38505.00,38648.00,38702.00,38749.00,38946.00,39110.00,39186.00,39317.00,39424.00,39451.00,39480.00,39600.00,39710.00,39777.00,39861.00,39932.00,39963.00,39976.00,40070.00,40157.00,40256.00,40333.00,40373.00,40404.00,40425.00,40479.00,40576.00,40617.00,40666.00,40698.00,40717.00,40728.00,40782.00,40839.00,40870.00,40904.00,40921.00,40930.00,40940.00,40984.00,41010.00,41034.00,41060.00,41069.00,41080.00,41090.00,41115.00,41132.00,41141.00,41173.00,41188.00,41196.00,41199.00,41220.00,41254.00,41254.00,41274.00
